Rank,Country,Active Cases,Deaths,Recovered Patients,Date
86,North Macedonia,1999,113,1439,2020-05-25
87,El Salvador,1983,35,598,2020-05-25
88,Cuba,1947,82,1704,2020-05-25
89,Gabon,1934,12,459,2020-05-25
90,Estonia,1824,65,1538,2020-05-25
91,Iceland,1804,10,1791,2020-05-25
92,Somalia,1689,66,235,2020-05-25
93,Lithuania,1635,63,1138,2020-05-25
94,Slovakia,1511,28,1307,2020-05-25
95,Slovenia,1468,107,1340,2020-05-25
96,Kyrgyzstan,1433,16,992,2020-05-25
97,Maldives,1395,4,144,2020-05-25
98,Kenya,1286,52,402,2020-05-25
99,Sri Lanka,1182,9,695,2020-05-25
100,New Zealand,1154,21,1456,2020-05-25
101,Venezuela,1121,10,262,2020-05-25
102,Guinea-Bissau,1114,6,42,2020-05-25
103,Lebanon,1114,26,688,2020-05-25
104,USS ,1102,1,53,2020-05-25
105,Charles de Gaulle,1081,0,0,2020-05-25
106,Hong Kong,1066,4,1030,2020-05-25
107,Mali,1059,67,604,2020-05-25
108,Tunisia,1051,48,917,2020-05-25
109,Latvia,1049,22,712,2020-05-25
110,Equatorial Guinea,1043,12,165,2020-05-25
111,Kosovo,1032,29,785,2020-05-25
112,Albania,998,32,789,2020-05-25
113,Haiti,958,27,22,2020-05-25
114,Niger,945,61,783,2020-05-25
115,Cyprus,935,17,594,2020-05-25
116,Costa Rica,930,10,620,2020-05-25
117,Zambia,920,7,336,2020-05-25
118,Paraguay,862,11,307,2020-05-25
119,Burkina Faso,814,52,672,2020-05-25
120,Uruguay,769,22,618,2020-05-25
121,Andorra,763,51,663,2020-05-25
122,Sierra Leone,735,42,293,2020-05-25
123,Georgia,731,12,526,2020-05-25
124,Diamond Princess,712,14,653,2020-05-25
125,Jordan,708,9,471,2020-05-25
126,Chad,675,60,215,2020-05-25
127,Nepal,675,3,87,2020-05-25
128,San Marino,665,42,266,2020-05-25
129,Ethiopia,655,5,159,2020-05-25
130,South Sudan,655,8,6,2020-05-25
131,Malta,610,6,480,2020-05-25
132,Central African Republic,604,1,22,2020-05-25
133,Jamaica,552,9,211,2020-05-25
134,Madagascar,527,2,142,2020-05-25
135,Tanzania,509,21,183,2020-05-25
136,Congo,487,16,1347,2020-05-25
137,Taiwan,441,7,414,2020-05-25
138,Palestine,423,3,357,2020-05-25
139,Cape Verde,390,3,155,2020-05-25
140,Donetsk PR,385,10,102,2020-05-25
141,Togo,381,12,141,2020-05-25
142,Luhansk PR,377,5,133,2020-05-25
143,Isle of Man,336,24,303,2020-05-25
144,Mauritius,334,10,322,2020-05-25
145,Rwanda,327,0,237,2020-05-25
146,Vietnam,325,0,267,2020-05-25
147,Montenegro,324,9,315,2020-05-25
148,Jersey,306,29,280,2020-05-25
149,São Tomé & Príncipe,299,11,4,2020-05-25
150,Nicaragua,279,17,199,2020-05-25
151,Liberia,265,26,139,2020-05-25
152,Guernsey,252,13,237,2020-05-25
153,Eswatini,250,2,158,2020-05-25
154,Mauritania,237,6,15,2020-05-25
155,Yemen,233,44,10,2020-05-25
156,Uganda,212,0,68,2020-05-25
157,Mozambique,209,1,71,2020-05-25
158,Myanmar,203,6,123,2020-05-25
159,Benin,191,3,82,2020-05-25
160,Faroe Islands,187,0,187,2020-05-25
161,Somaliland,168,14,18,2020-05-25
162,Guam,166,5,138,2020-05-25
163,Gibraltar,154,0,147,2020-05-25
164,<i>Costa Atlantica</i>,148,0,0,2020-05-25
165,Brunei,141,1,137,2020-05-25
166,Mongolia,141,0,32,2020-05-25
167,Guyana,135,10,562,2020-05-25
168,Bermuda,133,9,81,2020-05-25
169,Cayman Islands,129,1,61,2020-05-25
170,<i>Greg Mortimer</i>,128,1,,2020-05-25
171,Cambodia,124,0,122,2020-05-25
172,Trinidad & Tobago,116,8,108,2020-05-25
173,Northern Cyprus,108,4,104,2020-05-25
174,Syria,106,4,41,2020-05-25
175,Aruba,101,3,95,2020-05-25
176,Malawi,101,4,33,2020-05-25
177,Bahamas,100,11,45,2020-05-25
178,Monaco,98,4,90,2020-05-25
179,Barbados,92,7,70,2020-05-25
180,Comoros,87,1,21,2020-05-25
181,Liechtenstein,82,1,55,2020-05-25
182,Sint Maarten,77,15,59,2020-05-25
183,Libya,75,3,39,2020-05-25
184,Angola,69,4,18,2020-05-25
185,U.S. Virgin Islands,69,6,61,2020-05-25
186,French Polynesia,60,0,60,2020-05-25
187,Zimbabwe,56,4,25,2020-05-25
188,Macau,45,0,45,2020-05-25
189,Burundi,42,1,20,2020-05-25
190,Eritrea,39,0,39,2020-05-25
191,Botswana,35,1,19,2020-05-25
192,South Ossetia,34,0,6,2020-05-25
193,Artsakh,34,0,13,2020-05-25
194,Bhutan,27,0,6,2020-05-25
195,Abkhazia,25,1,3,2020-05-25
196,The Gambia,25,1,13,2020-05-25
197,Antigua & Barbuda,24,3,19,2020-05-25
198,East Timor,24,0,24,2020-05-25
199,Grenada,22,0,17,2020-05-25
200,Northern Mariana Islands ,22,2,13,2020-05-25
201,Namibia,21,0,14,2020-05-25
202,Laos,19,0,14,2020-05-25
203,Belize,18,2,16,2020-05-25
204,Fiji,18,0,15,2020-05-25
205,New Caledonia,18,0,18,2020-05-25
206,Saint Lucia,18,0,18,2020-05-25
207,Saint Vincent,18,0,14,2020-05-25
208,Curaçao,17,1,14,2020-05-25
209,Dominica,16,0,16,2020-05-25
210,Saint Kitts & Nevis,15,0,15,2020-05-25
211,Falkland Islands,13,0,13,2020-05-25
212,MS ,13,4,,2020-05-25
213,Coral Princess,12,2,,2020-05-25
214,Greenland,12,0,11,2020-05-25
215,Turks & Caicos Islands,12,1,10,2020-05-25
216,Vatican City,12,0,2,2020-05-25
217,Montserrat,11,1,10,2020-05-25
218,Seychelles,11,0,11,2020-05-25
219,Suriname,11,1,9,2020-05-25
220,British Virgin Islands,8,1,6,2020-05-25
221,HNLMS ,8,0,,2020-05-25
222,Papua New Guinea,8,0,8,2020-05-25
223,Anguilla,3,0,3,2020-05-25
224,Saba,3,0,3,2020-05-25
225,Bonaire,2,0,2,2020-05-25
226,Lesotho,2,0,0,2020-05-25
227,Sint Eustatius,2,0,2,2020-05-25
228,Saint Pierre & Miquelon,1,0,1,2020-05-25
1,United States,1702196,99624,353043,2020-05-26
2,Brazil,377711,23606,153833,2020-05-26
3,Russia,362342,3807,131129,2020-05-26
4,United Kingdom,265227,37048,,2020-05-26
5,Spain,236529,27117,150376,2020-05-26
6,Italy,230555,32955,144658,2020-05-26
7,Germany,180951,8432,163681,2020-05-26
8,Turkey,157814,4369,120015,2020-05-26
9,India,145380,4167,60491,2020-05-26
10,France,145279,28432,65199,2020-05-26
11,Iran,139511,7508,109437,2020-05-26
12,Peru,123979,3629,50949,2020-05-26
13,Canada,85998,6566,44898,2020-05-26
14,China,82992,4634,78277,2020-05-26
15,Chile,77961,806,30915,2020-05-26
16,Saudi Arabia,76726,411,48450,2020-05-26
17,Mexico,71105,7633,49890,2020-05-26
18,Pakistan,57705,1197,18314,2020-05-26
19,Belgium,57455,9334,15320,2020-05-26
20,Netherlands,45578,5856,,2020-05-26
21,Qatar,45465,26,9363,2020-05-26
22,Belarus,38059,208,15086,2020-05-26
23,Ecuador,37355,3203,3560,2020-05-26
24,Bangladesh,35585,501,7334,2020-05-26
25,Sweden,34440,4124,4971,2020-05-26
26,Singapore,32343,23,15738,2020-05-26
27,Portugal,31007,1342,18096,2020-05-26
28,Switzerland,30761,1648,28200,2020-05-26
29,United Arab Emirates,30307,248,15657,2020-05-26
30,Ireland,24698,1606,21060,2020-05-26
31,South Africa,23615,481,11917,2020-05-26
32,Indonesia,23165,1418,5877,2020-05-26
33,Colombia,21981,750,5265,2020-05-26
34,Kuwait,21967,165,6621,2020-05-26
35,Poland,21631,1007,9276,2020-05-26
36,Ukraine,21584,644,7575,2020-05-26
37,Romania,18429,1210,11874,2020-05-26
38,Egypt,17967,783,4900,2020-05-26
39,Israel,16743,281,14362,2020-05-26
40,Japan,16628,851,13612,2020-05-26
41,Austria,16459,641,15138,2020-05-26
42,Dominican Republic,15073,460,8285,2020-05-26
43,Philippines,14669,886,3412,2020-05-26
44,Argentina,12615,467,3986,2020-05-26
45,Denmark,11387,563,9964,2020-05-26
46,South Korea,11225,269,10275,2020-05-26
47,Serbia,11193,239,5920,2020-05-26
48,Panama,11183,310,6279,2020-05-26
49,Afghanistan,11173,219,1097,2020-05-26
50,Bahrain,9171,14,4753,2020-05-26
51,Czech Republic,9002,317,6182,2020-05-26
52,Kazakhstan,8969,35,4560,2020-05-26
53,Algeria,8697,617,4918,2020-05-26
54,Norway,8364,235,7727,2020-05-26
55,Oman,8118,37,2067,2020-05-26
56,Nigeria,8068,233,2311,2020-05-26
57,Malaysia,7604,115,6041,2020-05-26
58,Morocco,7532,200,4774,2020-05-26
59,Moldova,7147,261,3802,2020-05-26
60,Australia,7116,102,6532,2020-05-26
61,Armenia,7402,91,3220,2020-05-26
62,Ghana,6808,32,2080,2020-05-26
63,Finland,6628,312,5100,2020-05-26
64,Bolivia,6263,250,629,2020-05-26
65,Cameroon,4890,165,1865,2020-05-26
66,Iraq,4632,163,2811,2020-05-26
67,Azerbaijan,4271,51,2741,2020-05-26
68,Luxembourg,3993,110,3781,2020-05-26
69,Honduras,3950,180,468,2020-05-26
70,Sudan,3820,165,458,2020-05-26
71,Hungary,3771,499,1836,2020-05-26
72,Guatemala,3424,58,258,2020-05-26
73,Puerto Rico,3324,129,850,2020-05-26
74,Guinea,3275,20,1673,2020-05-26
75,Uzbekistan,3261,13,2607,2020-05-26
76,Senegal,3130,39,1515,2020-05-26
77,Tajikistan,3100,46,1395,2020-05-26
78,Thailand,3045,57,2929,2020-05-26
79,Greece,2882,172,1374,2020-05-26
80,Djibouti,2468,14,1079,2020-05-26
81,Bulgaria,2433,130,862,2020-05-26
82,Ivory Coast,2423,30,1257,2020-05-26
83,Bosnia & Herzegovina,2416,149,1721,2020-05-26
84,DR Congo,2296,67,337,2020-05-26
85,Croatia,2244,100,2035,2020-05-26
86,Gabon,2135,14,462,2020-05-26
87,North Macedonia,1999,113,1439,2020-05-26
88,El Salvador,1983,35,598,2020-05-26
89,Cuba,1947,82,1704,2020-05-26
90,Estonia,1834,65,1552,2020-05-26
91,Iceland,1804,10,1791,2020-05-26
92,Somalia,1689,66,235,2020-05-26
93,Lithuania,1639,65,1165,2020-05-26
94,Slovakia,1511,28,1307,2020-05-26
95,Slovenia,1469,107,1340,2020-05-26
96,Kyrgyzstan,1468,16,1015,2020-05-26
97,Maldives,1395,4,144,2020-05-26
98,Kenya,1286,52,402,2020-05-26
99,Sri Lanka,1278,10,712,2020-05-26
100,Guinea-Bissau,1178,7,42,2020-05-26
101,Venezuela,1177,10,302,2020-05-26
102,New Zealand,1154,21,1461,2020-05-26
103,Lebanon,1119,26,688,2020-05-26
104,USS ,1102,1,53,2020-05-26
105,Charles de Gaulle,1081,0,0,2020-05-26
106,Hong Kong,1066,4,1030,2020-05-26
107,Mali,1059,67,604,2020-05-26
108,Tunisia,1051,48,917,2020-05-26
109,Latvia,1049,22,712,2020-05-26
110,Equatorial Guinea,1043,12,165,2020-05-26
111,Kosovo,1038,30,791,2020-05-26
112,Albania,1029,33,803,2020-05-26
113,Haiti,958,27,22,2020-05-26
114,Costa Rica,951,10,628,2020-05-26
115,Niger,951,62,786,2020-05-26
116,Cyprus,937,17,594,2020-05-26
117,Zambia,920,7,336,2020-05-26
118,Paraguay,865,11,344,2020-05-26
119,Burkina Faso,832,52,672,2020-05-26
120,South Sudan,806,8,6,2020-05-26
121,Uruguay,787,22,629,2020-05-26
122,Andorra,763,51,663,2020-05-26
123,Sierra Leone,754,44,297,2020-05-26
124,Georgia,731,12,526,2020-05-26
125,Diamond Princess,712,14,653,2020-05-26
126,Jordan,711,9,479,2020-05-26
127,Chad,687,61,244,2020-05-26
128,Nepal,682,4,112,2020-05-26
129,San Marino,666,42,270,2020-05-26
130,Ethiopia,655,5,159,2020-05-26
131,Central African Republic,652,1,22,2020-05-26
132,Malta,611,6,485,2020-05-26
133,Jamaica,552,9,211,2020-05-26
134,Madagascar,542,2,147,2020-05-26
135,Tanzania,509,21,183,2020-05-26
136,Congo,487,16,1347,2020-05-26
137,Taiwan,441,7,415,2020-05-26
138,Palestine,423,3,357,2020-05-26
139,Donetsk PR,409,13,103,2020-05-26
140,Cape Verde,390,3,155,2020-05-26
141,Togo,386,13,161,2020-05-26
142,Luhansk PR,384,6,184,2020-05-26
143,Isle of Man,336,24,305,2020-05-26
144,Mauritius,334,10,322,2020-05-26
145,Rwanda,327,0,237,2020-05-26
146,Vietnam,326,0,272,2020-05-26
147,Montenegro,324,9,315,2020-05-26
148,Jersey,307,29,280,2020-05-26
149,São Tomé & Príncipe,299,11,4,2020-05-26
150,Nicaragua,279,17,199,2020-05-26
151,Liberia,265,26,141,2020-05-26
152,Mauritania,262,9,15,2020-05-26
153,Eswatini,256,2,158,2020-05-26
154,Guernsey,252,13,237,2020-05-26
155,Yemen,233,44,10,2020-05-26
156,Uganda,212,0,68,2020-05-26
157,Mozambique,209,1,71,2020-05-26
158,Myanmar,203,6,123,2020-05-26
159,Somaliland,203,15,19,2020-05-26
160,Benin,191,3,84,2020-05-26
161,Faroe Islands,187,0,187,2020-05-26
162,Guam,166,5,138,2020-05-26
163,Gibraltar,154,0,147,2020-05-26
164,<i>Costa Atlantica</i>,148,0,0,2020-05-26
165,Brunei,141,1,137,2020-05-26
166,Mongolia,141,0,32,2020-05-26
167,Guyana,137,11,62,2020-05-26
168,Cayman Islands,134,1,61,2020-05-26
169,Bermuda,133,9,89,2020-05-26
170,<i>Greg Mortimer</i>,128,1,,2020-05-26
171,Cambodia,124,0,122,2020-05-26
172,Trinidad & Tobago,116,8,108,2020-05-26
173,Northern Cyprus,108,4,104,2020-05-26
174,Syria,121,4,41,2020-05-26
175,Aruba,101,3,95,2020-05-26
176,Malawi,101,4,37,2020-05-26
177,Bahamas,100,11,46,2020-05-26
178,Monaco,98,4,90,2020-05-26
179,Barbados,92,7,70,2020-05-26
180,Comoros,87,1,21,2020-05-26
181,Liechtenstein,82,1,55,2020-05-26
182,Sint Maarten,77,15,59,2020-05-26
183,Libya,75,3,39,2020-05-26
184,Angola,70,4,18,2020-05-26
185,U.S. Virgin Islands,69,6,61,2020-05-26
186,French Polynesia,60,0,60,2020-05-26
187,Zimbabwe,56,4,25,2020-05-26
188,Macau,45,0,45,2020-05-26
189,Burundi,42,1,20,2020-05-26
190,Eritrea,39,0,39,2020-05-26
191,South Ossetia,37,0,7,2020-05-26
192,Botswana,35,1,20,2020-05-26
193,Artsakh,34,0,14,2020-05-26
194,Abkhazia,28,1,6,2020-05-26
195,Bhutan,27,0,6,2020-05-26
196,The Gambia,25,1,13,2020-05-26
197,Antigua & Barbuda,24,3,19,2020-05-26
198,East Timor,24,0,24,2020-05-26
199,Grenada,23,0,18,2020-05-26
200,Northern Mariana Islands ,22,2,13,2020-05-26
201,Namibia,21,0,14,2020-05-26
202,Laos,19,0,14,2020-05-26
203,Belize,18,2,16,2020-05-26
204,Curaçao,18,1,14,2020-05-26
205,Fiji,18,0,15,2020-05-26
206,New Caledonia,18,0,18,2020-05-26
207,Saint Lucia,18,0,18,2020-05-26
208,Saint Vincent,18,0,14,2020-05-26
209,Dominica,16,0,16,2020-05-26
210,Saint Kitts & Nevis,15,0,15,2020-05-26
211,Falkland Islands,13,0,13,2020-05-26
212,MS ,13,4,,2020-05-26
213,Coral Princess,12,2,,2020-05-26
214,Greenland,12,0,11,2020-05-26
215,Turks & Caicos Islands,12,1,10,2020-05-26
216,Vatican City,12,0,2,2020-05-26
217,Montserrat,11,1,10,2020-05-26
218,Seychelles,11,0,11,2020-05-26
219,Suriname,11,1,9,2020-05-26
220,British Virgin Islands,8,1,6,2020-05-26
221,HNLMS ,8,0,,2020-05-26
222,Papua New Guinea,8,0,8,2020-05-26
223,Anguilla,3,0,3,2020-05-26
224,Saba,3,0,3,2020-05-26
225,Bonaire,2,0,2,2020-05-26
226,Lesotho,2,0,0,2020-05-26
227,Sint Eustatius,2,0,2,2020-05-26
228,Saint Pierre & Miquelon,1,0,1,2020-05-26
1,United States,1721126,100578,364993,2020-05-27
2,Brazil,394507,24600,159611,2020-05-27
3,Russia,370680,3968,142208,2020-05-27
4,United Kingdom,267240,37460,,2020-05-27
5,Spain,236529,27117,150376,2020-05-27
6,Italy,230555,32955,144658,2020-05-27
7,Germany,181303,8431,163591,2020-05-27
8,Turkey,158762,4397,121507,2020-05-27
9,India,151767,4337,64426,2020-05-27
10,France,145555,28530,65879,2020-05-27
11,Iran,141591,7564,111176,2020-05-27
12,Peru,129751,3788,52906,2020-05-27
13,Canada,86940,6671,45752,2020-05-27
14,China,82993,4634,78280,2020-05-27
15,Chile,82289,841,33540,2020-05-27
16,Saudi Arabia,78541,425,51022,2020-05-27
17,Mexico,74560,8134,52219,2020-05-27
18,Pakistan,59151,1225,19142,2020-05-27
19,Belgium,57592,9364,15465,2020-05-27
20,Qatar,48677,30,13283,2020-05-27
21,Netherlands,45769,5871,,2020-05-27
22,Belarus,38956,214,15923,2020-05-27
23,Bangladesh,38292,544,7925,2020-05-27
24,Ecuador,37355,3203,3560,2020-05-27
25,Sweden,35088,4220,4971,2020-05-27
26,Singapore,32876,23,16444,2020-05-27
27,United Arab Emirates,31086,253,15982,2020-05-27
28,Portugal,31007,1342,18096,2020-05-27
29,Switzerland,30776,1649,28200,2020-05-27
30,Ireland,24735,1615,21060,2020-05-27
31,South Africa,24264,524,12741,2020-05-27
32,Indonesia,23851,1473,6057,2020-05-27
33,Colombia,23003,776,5511,2020-05-27
34,Kuwait,22575,172,7306,2020-05-27
35,Poland,22303,1025,10330,2020-05-27
36,Ukraine,21905,658,7995,2020-05-27
37,Egypt,18756,797,5027,2020-05-27
38,Romania,18429,1210,11874,2020-05-27
39,Israel,16771,281,14486,2020-05-27
40,Japan,16662,862,13810,2020-05-27
41,Austria,16496,643,15182,2020-05-27
42,Dominican Republic,15264,468,8534,2020-05-27
43,Philippines,15049,904,3506,2020-05-27
44,Argentina,13215,490,4154,2020-05-27
45,Afghanistan,11831,220,1128,2020-05-27
46,Panama,11447,313,6379,2020-05-27
47,Denmark,11426,563,10044,2020-05-27
48,South Korea,11265,269,10295,2020-05-27
49,Serbia,11227,239,6067,2020-05-27
50,Bahrain,9366,14,4938,2020-05-27
51,Kazakhstan,9304,37,4746,2020-05-27
52,Czech Republic,9050,317,6270,2020-05-27
53,Algeria,8697,617,4918,2020-05-27
54,Norway,8383,236,7727,2020-05-27
55,Oman,8373,38,2177,2020-05-27
56,Nigeria,8344,249,2385,2020-05-27
57,Armenia,7774,98,3255,2020-05-27
58,Malaysia,7619,115,6083,2020-05-27
59,Morocco,7584,202,4969,2020-05-27
60,Moldova,7537,274,3975,2020-05-27
61,Bolivia,7136,274,677,2020-05-27
62,Australia,7131,102,6553,2020-05-27
63,Ghana,7117,34,2317,2020-05-27
64,Finland,6692,313,5100,2020-05-27
65,Cameroon,5436,165,1865,2020-05-27
66,Iraq,4848,169,2852,2020-05-27
67,Azerbaijan,4403,52,2819,2020-05-27
68,Honduras,4401,188,493,2020-05-27
69,Sudan,4146,184,588,2020-05-27
70,Luxembourg,3995,110,3783,2020-05-27
71,Guatemala,3954,63,289,2020-05-27
72,Hungary,3793,505,1856,2020-05-27
73,Puerto Rico,3397,129,850,2020-05-27
74,Uzbekistan,3333,14,2659,2020-05-27
75,Guinea,3275,20,1673,2020-05-27
76,Tajikistan,3266,47,1417,2020-05-27
77,Senegal,3161,39,1565,2020-05-27
78,Thailand,3054,57,2931,2020-05-27
79,Greece,2892,173,1374,2020-05-27
80,DR Congo,2545,67,365,2020-05-27
81,Ivory Coast,2477,30,1286,2020-05-27
82,Djibouti,2468,14,1079,2020-05-27
83,Bulgaria,2460,133,912,2020-05-27
84,Bosnia & Herzegovina,2435,151,1744,2020-05-27
85,Croatia,2244,101,2046,2020-05-27
86,Gabon,2238,14,593,2020-05-27
87,El Salvador,2109,37,873,2020-05-27
88,North Macedonia,2014,116,1453,2020-05-27
89,Cuba,1963,82,1709,2020-05-27
90,Estonia,1840,66,1561,2020-05-27
91,Iceland,1804,10,1792,2020-05-27
92,Somalia,1711,67,253,2020-05-27
93,Lithuania,1647,66,1184,2020-05-27
94,Kyrgyzstan,1520,16,1043,2020-05-27
95,Slovakia,1515,28,1327,2020-05-27
96,Slovenia,1469,108,1346,2020-05-27
97,Maldives,1438,5,197,2020-05-27
98,Kenya,1471,55,408,2020-05-27
99,Sri Lanka,1319,10,712,2020-05-27
100,Venezuela,1211,11,302,2020-05-27
101,Guinea-Bissau,1178,7,42,2020-05-27
102,Haiti,1174,33,22,2020-05-27
103,New Zealand,1154,21,1462,2020-05-27
104,Lebanon,1140,26,689,2020-05-27
105,USS ,1102,1,53,2020-05-27
106,Charles de Gaulle,1081,0,0,2020-05-27
107,Mali,1077,70,617,2020-05-27
108,Hong Kong,1066,4,1033,2020-05-27
109,Latvia,1057,23,741,2020-05-27
110,Tunisia,1051,48,919,2020-05-27
111,Equatorial Guinea,1043,12,165,2020-05-27
112,Albania,1050,33,812,2020-05-27
113,Kosovo,1047,30,794,2020-05-27
114,Costa Rica,956,10,634,2020-05-27
115,Niger,952,63,796,2020-05-27
116,Cyprus,939,17,594,2020-05-27
117,Zambia,920,7,336,2020-05-27
118,Paraguay,877,11,382,2020-05-27
119,Burkina Faso,832,52,672,2020-05-27
120,South Sudan,806,8,6,2020-05-27
121,Uruguay,789,22,638,2020-05-27
122,Nepal,772,4,151,2020-05-27
123,Andorra,763,51,663,2020-05-27
124,Nicaragua,759,35,370,2020-05-27
125,Sierra Leone,754,44,297,2020-05-27
126,Georgia,732,12,537,2020-05-27
127,Jordan,718,9,488,2020-05-27
128,Diamond Princess,712,14,653,2020-05-27
129,Ethiopia,701,6,167,2020-05-27
130,Chad,700,62,303,2020-05-27
131,Central African Republic,671,1,22,2020-05-27
132,San Marino,666,42,275,2020-05-27
133,Malta,611,6,485,2020-05-27
134,Madagascar,586,2,147,2020-05-27
135,Jamaica,556,9,238,2020-05-27
136,Tanzania,509,21,183,2020-05-27
137,Congo,469,16,137,2020-05-27
138,São Tomé & Príncipe,441,12,68,2020-05-27
139,Taiwan,441,7,416,2020-05-27
140,Palestine,429,3,365,2020-05-27
141,Donetsk PR,409,13,103,2020-05-27
142,Togo,391,13,177,2020-05-27
143,Cape Verde,390,4,155,2020-05-27
144,Luhansk PR,384,6,184,2020-05-27
145,Rwanda,369,0,244,2020-05-27
146,Isle of Man,336,24,306,2020-05-27
147,Mauritius,334,10,322,2020-05-27
148,Vietnam,327,0,272,2020-05-27
149,Montenegro,324,9,315,2020-05-27
150,Jersey,307,29,280,2020-05-27
151,Mauritania,268,13,15,2020-05-27
152,Liberia,266,26,144,2020-05-27
153,Eswatini,261,2,164,2020-05-27
154,Uganda,253,0,69,2020-05-27
155,Guernsey,252,13,237,2020-05-27
156,Yemen,249,49,10,2020-05-27
157,Somaliland,217,17,21,2020-05-27
158,Mozambique,213,1,71,2020-05-27
159,Benin,208,3,118,2020-05-27
160,Myanmar,206,6,124,2020-05-27
161,Faroe Islands,187,0,187,2020-05-27
162,Guam,169,5,139,2020-05-27
163,Gibraltar,154,0,147,2020-05-27
164,<i>Costa Atlantica</i>,148,0,0,2020-05-27
165,Brunei,141,1,137,2020-05-27
166,Mongolia,141,0,32,2020-05-27
167,Bermuda,139,9,91,2020-05-27
168,Guyana,139,11,62,2020-05-27
169,Cayman Islands,137,1,63,2020-05-27
170,<i>Greg Mortimer</i>,128,1,,2020-05-27
171,Cambodia,124,0,122,2020-05-27
172,Syria,121,4,41,2020-05-27
173,Trinidad & Tobago,116,8,108,2020-05-27
174,Northern Cyprus,108,4,104,2020-05-27
175,Aruba,101,3,95,2020-05-27
176,Malawi,101,4,37,2020-05-27
177,Bahamas,100,11,46,2020-05-27
178,Monaco,98,4,90,2020-05-27
179,Barbados,92,7,71,2020-05-27
180,Comoros,87,1,21,2020-05-27
181,Liechtenstein,82,1,55,2020-05-27
182,Libya,77,3,40,2020-05-27
183,Sint Maarten,77,15,60,2020-05-27
184,Angola,70,4,18,2020-05-27
185,U.S. Virgin Islands,69,6,61,2020-05-27
186,French Polynesia,60,0,60,2020-05-27
187,Zimbabwe,56,4,25,2020-05-27
188,Macau,45,0,45,2020-05-27
189,Burundi,42,1,20,2020-05-27
190,Eritrea,39,0,39,2020-05-27
191,South Ossetia,36,0,22,2020-05-27
192,Botswana,35,1,20,2020-05-27
193,Artsakh,34,0,14,2020-05-27
194,Abkhazia,28,1,15,2020-05-27
195,Bhutan,27,0,6,2020-05-27
196,The Gambia,25,1,13,2020-05-27
197,Antigua & Barbuda,24,3,19,2020-05-27
198,East Timor,24,0,24,2020-05-27
199,Grenada,23,0,18,2020-05-27
200,Namibia,22,0,14,2020-05-27
201,Northern Mariana Islands ,22,2,13,2020-05-27
202,Laos,19,0,14,2020-05-27
203,Belize,18,2,16,2020-05-27
204,Curaçao,18,1,14,2020-05-27
205,Fiji,18,0,15,2020-05-27
206,New Caledonia,18,0,18,2020-05-27
207,Saint Lucia,18,0,18,2020-05-27
208,Saint Vincent,18,0,14,2020-05-27
209,Dominica,16,0,16,2020-05-27
210,Saint Kitts & Nevis,15,0,15,2020-05-27
211,Falkland Islands,13,0,13,2020-05-27
212,MS ,13,4,,2020-05-27
213,Coral Princess,12,2,,2020-05-27
214,Greenland,12,0,11,2020-05-27
215,Turks & Caicos Islands,12,1,10,2020-05-27
216,Vatican City,12,0,2,2020-05-27
217,Montserrat,11,1,10,2020-05-27
218,Seychelles,11,0,11,2020-05-27
219,Suriname,11,1,9,2020-05-27
220,British Virgin Islands,8,1,6,2020-05-27
221,HNLMS ,8,0,,2020-05-27
222,Papua New Guinea,8,0,8,2020-05-27
223,Anguilla,3,0,3,2020-05-27
224,Saba,3,0,3,2020-05-27
225,Bonaire,2,0,2,2020-05-27
226,Lesotho,2,0,0,2020-05-27
227,Sint Eustatius,2,0,2,2020-05-27
228,Saint Pierre & Miquelon,1,0,1,2020-05-27
1,United States,1738743,101894,372220,2020-05-28
2,Brazil,414661,25697,190845,2020-05-28
3,Russia,379051,4142,150993,2020-05-28
4,United Kingdom,267240,37460,,2020-05-28
5,Spain,237906,27118,150376,2020-05-28
6,Italy,231139,33072,147101,2020-05-28
7,Germany,182170,8550,162714,2020-05-28
8,Turkey,159797,4431,122793,2020-05-28
9,India,158333,4531,67692,2020-05-28
10,France,145746,28596,66584,2020-05-28
11,Iran,143849,7627,112988,2020-05-28
12,Peru,135905,3983,56169,2020-05-28
13,Canada,88467,6873,46766,2020-05-28
14,Chile,86943,890,36150,2020-05-28
15,China,82995,4634,78288,2020-05-28
16,Saudi Arabia,80185,441,54553,2020-05-28
17,Mexico,78023,8597,54383,2020-05-28
18,Pakistan,61227,1260,20231,2020-05-28
19,Belgium,57849,9388,15572,2020-05-28
20,Qatar,50914,33,15399,2020-05-28
21,Netherlands,45950,5903,,2020-05-28
22,Bangladesh,40321,559,8425,2020-05-28
23,Belarus,39858,219,16660,2020-05-28
24,Ecuador,38103,3275,3700,2020-05-28
25,Sweden,35727,4266,4971,2020-05-28
26,Singapore,33249,23,18294,2020-05-28
27,United Arab Emirates,32532,258,16685,2020-05-28
28,Portugal,31596,1369,18637,2020-05-28
29,Switzerland,30796,1655,28300,2020-05-28
30,South Africa,25937,552,13451,2020-05-28
31,Ireland,24803,1631,21060,2020-05-28
32,Indonesia,24538,1496,6240,2020-05-28
33,Kuwait,24112,185,8698,2020-05-28
34,Colombia,24104,803,6111,2020-05-28
35,Poland,22825,1038,10560,2020-05-28
36,Ukraine,22382,669,8439,2020-05-28
